Coin,Price,change on Percentage
Bitcoin,"$19,192",-0.90%
Ethereum,"$1,293",-1.60%
Litecoin,$51.54,-0.43%
Binance Coin,$273.13,-0.34%
Shiba Inu,$0.000010,-0.30%
Solana,$29.65,-2.15%
Ripple,$0.4616,-1.33%
Bitcoin Cash,$108.05,-0.66%
Monero,$146.68,+0.01%
Zcash,$51.99,-0.99%
Cardano,$0.3576,-1.81%
NEO,$7.85,-0.73%
TRON,$0.0625,+0.55%
Stellar,$0.1128,+0.36%
Tether,$1.0000,0.00%
IOTA,$0.2488,-0.99%
Ontology,$0.2099,-1.13%
Maker,"$1,110.30",-0.26%
Bitcoin SV,$47.61,-0.87%
Dogecoin,$0.0598,+0.56%
Ethereum Classic,$22.94,-1.92%
Tezos,$1.36,-1.02%
NEM,$0.0377,-2.93%
USD Coin,$0.9999,0.00%
Cronos,$0.1069,-1.66%
Cosmos,$12.19,-3.56%
UNUS SED LEO,$4.15,-3.42%
Uniswap,$6.67,+0.89%
Yearn.finance,"$7,650",-1.15%
Polygon,$0.8769,+0.79%
Dash,$40.66,-0.32%
Band Protocol,$1.07,-2.38%
Chainlink,$6.94,-2.52%
Polkadot,$6.22,+0.70%
Compound,$51.89,-1.82%
Aave,$84.05,+1.56%
SushiSwap,$1.52,+0.60%
Waves,$3.29,-2.95%
Synthetix,$2.38,-0.17%
PancakeSwap,$4.45,-0.20%
Terra,$2.96,0.00%
VeChain,$0.0227,-1.77%
Avalanche,$15.54,-2.14%
The Sandbox,$0.7544,-2.62%
Decentraland,$0.6216,-1.65%
Axie Infinity,$10.46,-4.65%
EOS,$1.0290,-1.81%
Dai,$1.00,0.00%
FTX Token,$22.83,-3.39%
Near Protocol,$2.91,-1.69%
Fantom,$0.21,-1.86%
Algorand,$0.32,-1.28%
Hedera,$0.0603,-3.18%
Huobi Token,$7.66,-2.28%
Elrond,$57.39,+0.37%
ApeCoin,$4.38,-0.97%
STEPN,$0.55,-2.82%
Filecoin,$5.10,-0.80%
Celo,$0.71,-4.38%
Venus,$4.52,-0.70%
Gala,$0.0348,-2.44%
Theta,$1.02,+1.69%
THORChain,$1.48,-2.18%
Internet Computer,$4.96,+0.08%
Harmony,$0.0176,-2.87%
Kusama,$38.08,+1.30%
